name,vid,description,tid,parent
Level 1,accessibility_levels,,6,
Authoritative,authority_levels,,7,
PBOT,data_owners,,9,
As needed,frequency,,10,
asset,keywords,,11,
pedestrian,keywords,,12,
Windows,operating_system,,13,
Server 2008,operating_system,,14,13
Server 2008 R2,operating_system,,15,13
Server 2012,operating_system,,16,13
Server 2012 R2,operating_system,,17,13
Server 2016,operating_system,,18,13
stuff,keywords,,20,
assets,keywords,,21,
GIS,keywords,,22,
active transportation,keywords,,24,
safety,keywords,,26,
crash,keywords,,27,
accident,keywords,,28,
complaints,keywords,,29,
trip,keywords,,30,
distance,keywords,,31,
duration,keywords,,32,
Derivative,authority_levels,,33,
prohibited parking,keywords,,35,
VIT,keywords,,36,
derelict RV,keywords,,37,
tow,keywords,,38,
Parking Citations,keywords,,39,
Parking,keywords,,40,
Parking Service Requests,keywords,,41,
Title 16,keywords,,42,
Tow Warrants,keywords,,43,
Level 2,accessibility_levels,,45,
Level 3,accessibility_levels,,46,
construction,keywords,,482,
traffic signals,keywords,,457,
traffic control devices,keywords,,458,
budget,keywords,,483,
schedule,keywords,,484,
scope,keywords,,485,
staff,keywords,,486,
Plans,keywords,,508,
Specifications,keywords,,509,
APPP,keywords,,66,
Zone Parking,keywords,,67,
Area,keywords,,68,
Zone Parking Permit,keywords,,69,
Resident Permit,keywords,,70,
Business Permit,keywords,,71,
Guest Parking,keywords,,72,
Zone M Restrictions,keywords,,73,
Limited Permit,keywords,,74,
MFR,keywords,,75,
Zone M Parking,keywords,,76,
Carpool Check,keywords,,77,
Carpool Voucher,keywords,,78,
COP Carpool Voucher,keywords,,79,
Customer Service,keywords,,81,
Parking Meters,keywords,,82,
On-street parking,keywords,,83,
Parking Transactions,keywords,,84,
Meter Details,keywords,,85,
parking zones,keywords,,86,
Banking,keywords,,87,
transactions,keywords,,88,
Calculations,keywords,,510,
None,information_security_levels,,90,
Unknown,accessibility_levels,,91,
location,keywords,,93,
Paystation parts,keywords,,94,
Paystation,keywords,,95,
streetcar,keywords,,97,
Paystation Keys,keywords,,98,
Access,keywords,,99,
Paystation Locks,keywords,,100,
Estimate,keywords,,511,
Design Data,keywords,,512,
Funds Management,keywords,,535,
Heliport landings,keywords,,101,
SmartPark,keywords,,102,
employee complaints,keywords,,103,
refunds,keywords,,104,
Fleet Parking,keywords,,105,
SmartPark transactions,keywords,,106,
SmartPark financial and operational reports,keywords,,107,
Smart Park access cards,keywords,,108,
EV Charging,keywords,,109,
Other bureau,data_owners,,110,
Outside organization,data_owners,,111,
SmartPark Major Maintenance,keywords,,112,
SmartPark Facility Contents,keywords,,113,
Tracking,keywords,,115,
Parking Operations,keywords,,116,
Constituent Contacts,keywords,,117,
Special Use Permits,keywords,,118,
Angle Loading Permits,keywords,,119,
Work Order,keywords,,120,
RV Parking,keywords,,121,
Abandoned Auto,keywords,,122,
Parking Enforcement,keywords,,123,
Homeless Displacement,keywords,,124,
Carshare parking,keywords,,125,
Parking data,keywords,,126,
Electric Vehicle,keywords,,127,
non-motorized transport,keywords,,128,
Business Services Group,data_group_levels,,129,
Development Permitting and Transit Group,data_group_levels,,130,
Adminstrative Services Division,data_group_levels,,131,129
Business Technology Services,data_group_levels,,132,129
Employee Services,data_group_levels,,133,129
Financial Services,data_group_levels,,134,129
car share parking,keywords,,602,
Illuminated Signs,keywords,,459,
Beacons,keywords,,460,
Bicycle Network,keywords,,487,
free floating,keywords,,603,
Safe Ride Home,keywords,,561,
"Utility, Construction, Inspections Division",data_group_levels,,142,130
Daily,frequency,,59,
Bike Network,keywords,,488,
Bikeway,keywords,,489,
Bridges and Structures,data_group_levels,,146,145
Everbridge,keywords,,575,
Quaterly,frequency,,62,
Annually,frequency,,114,
Survey Division,data_group_levels,,150,145
Traffic Design Division,data_group_levels,,151,145
Traffic Operations Division,data_group_levels,,152,145
Maintenance Operations Group,data_group_levels,,153,
Real time,frequency,,60,
Unknown,frequency,,65,
Environmental Systems Division,data_group_levels,,156,153
NA,frequency,,64,
Street Systems Division,data_group_levels,,158,153
Parking Enforcement Division,data_group_levels,,160,159
Parking Operations Division,data_group_levels,,161,159
Regulatory Operations Division,data_group_levels,,162,159
Contingency,keywords,,536,
Active Transportation and Safety Division,data_group_levels,,164,163
Notification,keywords,,576,
Alert,keywords,,577,
PFHT,keywords,,545,
Emergency,keywords,,578,
beacon,keywords,,171,
capital projects,keywords,,172,
Excel,file_type,,173,
CSV,file_type,,174,
De-Icing,keywords,,589,
Graffiti,keywords,,595,
one way,keywords,,604,
Contact List,keywords,,610,
Taxi,keywords,,546,
NEMT,keywords,,547,
Shapefile,file_type,,176,
communication,keywords,,461,
fiber optic,keywords,,462,
interconnect,keywords,,463,
twisted pair,keywords,,464,
Coin Collection,keywords,,181,
On-street Parking Complaints,keywords,,182,
Bridge,keywords,,490,
Structures,keywords,,491,
Transportation System Plan,keywords,,185,
outreach,keywords,,186,
tabling events,keywords,,187,
volunteers,keywords,,188,
Ambassadors,keywords,,189,
community engagement,keywords,,190,
Bicycle,keywords,,191,
Bike,keywords,,192,
SURVEY,keywords,,193,
BES,keywords,,194,
Monumentation,keywords,,195,
Property,keywords,,196,
Control,keywords,,197,
Elevation,keywords,,198,
Fixing Our Streets,keywords,,199,
Gas Tax,keywords,,200,
Revenue,keywords,,201,
Heavy Vehicle Use Tax,keywords,,202,
Forecast,keywords,,203,
Inflation,keywords,,204,
CSL,keywords,,205,
